Period,Account,Fund,Program,Currency,Budgeted,Actual,Variance
2026-01-01,Contributions,Unrestricted,General,USD,-10000.00,0.00,10000.00
2026-01-01,Program Service Fees,Unrestricted,Educacion,USD,0.00,-1200.00,-1200.00
2026-01-01,Salaries,Unrestricted,General,USD,5400.00,0.00,-5400.00
2026-01-01,Occupancy,Unrestricted,General,USD,12000.00,0.00,-12000.00
2026-01-01,Government Grants,Beca Agua 2025,Educacion,USD,-7500.00,0.00,7500.00
2026-01-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-01-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
2026-02-01,Contributions,Unrestricted,General,USD,-5000.00,0.00,5000.00
2026-02-01,Salaries,Unrestricted,General,USD,3600.00,8500.00,4900.00
2026-02-01,Government Grants,Beca Agua 2025,Educacion,USD,-5000.00,0.00,5000.00
2026-02-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-02-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
2026-03-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-03-01,Government Grants,Beca Agua 2025,Educacion,USD,-2500.00,0.00,2500.00
2026-03-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-03-01,Food Purchases,Unrestricted,Food Pantry,MXN,750.00,1500.00,750.00
2026-04-01,Contributions,Unrestricted,General,USD,-5000.00,0.00,5000.00
2026-04-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-04-01,Government Grants,Beca Agua 2025,Educacion,USD,-5000.00,0.00,5000.00
2026-04-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-04-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
2026-05-01,Contributions,Unrestricted,General,USD,-5000.00,0.00,5000.00
2026-05-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-05-01,Occupancy,Unrestricted,General,USD,0.00,1550.00,1550.00
2026-05-01,Government Grants,Beca Agua 2025,Educacion,USD,-5000.00,0.00,5000.00
2026-05-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-05-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
2026-06-01,Contributions,Unrestricted,General,USD,-5000.00,-750.00,4250.00
2026-06-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-06-01,Government Grants,Beca Agua 2025,Educacion,USD,-5000.00,0.00,5000.00
2026-06-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-06-01,Food Purchases,Unrestricted,Food Pantry,MXN,750.00,0.00,-750.00
2026-07-01,Contributions,Unrestricted,General,USD,-10000.00,0.00,10000.00
2026-07-01,Salaries,Unrestricted,General,USD,5400.00,0.00,-5400.00
2026-07-01,Government Grants,Beca Agua 2025,Educacion,USD,-7500.00,0.00,7500.00
2026-07-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-07-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
2026-08-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-08-01,Government Grants,Beca Agua 2025,Educacion,USD,-2500.00,0.00,2500.00
2026-08-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-08-01,Food Purchases,Unrestricted,Food Pantry,MXN,750.00,0.00,-750.00
2026-09-01,Contributions,Unrestricted,General,USD,-5000.00,0.00,5000.00
2026-09-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-09-01,Government Grants,Beca Agua 2025,Educacion,USD,-5000.00,0.00,5000.00
2026-09-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-09-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
2026-10-01,Contributions,Unrestricted,General,USD,-10000.00,0.00,10000.00
2026-10-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-10-01,Government Grants,Beca Agua 2025,Educacion,USD,-7500.00,0.00,7500.00
2026-10-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-10-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
2026-11-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-11-01,Government Grants,Beca Agua 2025,Educacion,USD,-2500.00,0.00,2500.00
2026-11-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-11-01,Food Purchases,Unrestricted,Food Pantry,MXN,750.00,0.00,-750.00
2026-12-01,Contributions,Unrestricted,General,USD,-5000.00,0.00,5000.00
2026-12-01,Salaries,Unrestricted,General,USD,3600.00,0.00,-3600.00
2026-12-01,Government Grants,Beca Agua 2025,Educacion,USD,-5000.00,0.00,5000.00
2026-12-01,Program Supplies,Beca Agua 2025,Educacion,USD,400.00,0.00,-400.00
2026-12-01,Food Purchases,Unrestricted,Food Pantry,MXN,600.00,0.00,-600.00
Total,,,,MXN,7800.00,1500.00,-6300.00
Total,,,,USD,-56400.00,8100.00,64500.00
