   Period      Account               Fund            Program      Currency         Budgeted          Actual         Variance
-  ----------  --------------------  --------------  -----------  --------  ---------------  --------------  ---------------
   2026-01-01  Contributions         Unrestricted    General      USD       USD -$10,000.00       USD $0.00   USD $10,000.00
   2026-01-01  Program Service Fees  Unrestricted    Educacion    USD             USD $0.00  USD -$1,200.00   USD -$1,200.00
   2026-01-01  Salaries              Unrestricted    General      USD         USD $5,400.00       USD $0.00   USD -$5,400.00
   2026-01-01  Occupancy             Unrestricted    General      USD        USD $12,000.00       USD $0.00  USD -$12,000.00
   2026-01-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$7,500.00       USD $0.00    USD $7,500.00
   2026-01-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-01-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
   2026-02-01  Contributions         Unrestricted    General      USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-02-01  Salaries              Unrestricted    General      USD         USD $3,600.00   USD $8,500.00    USD $4,900.00
   2026-02-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-02-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-02-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
   2026-03-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-03-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$2,500.00       USD $0.00    USD $2,500.00
   2026-03-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-03-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $750.00   MXN $1,500.00      MXN $750.00
   2026-04-01  Contributions         Unrestricted    General      USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-04-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-04-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-04-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-04-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
   2026-05-01  Contributions         Unrestricted    General      USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-05-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-05-01  Occupancy             Unrestricted    General      USD             USD $0.00   USD $1,550.00    USD $1,550.00
   2026-05-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-05-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-05-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
   2026-06-01  Contributions         Unrestricted    General      USD        USD -$5,000.00    USD -$750.00    USD $4,250.00
   2026-06-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-06-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-06-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-06-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $750.00       MXN $0.00     MXN -$750.00
   2026-07-01  Contributions         Unrestricted    General      USD       USD -$10,000.00       USD $0.00   USD $10,000.00
   2026-07-01  Salaries              Unrestricted    General      USD         USD $5,400.00       USD $0.00   USD -$5,400.00
   2026-07-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$7,500.00       USD $0.00    USD $7,500.00
   2026-07-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-07-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
   2026-08-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-08-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$2,500.00       USD $0.00    USD $2,500.00
   2026-08-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-08-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $750.00       MXN $0.00     MXN -$750.00
   2026-09-01  Contributions         Unrestricted    General      USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-09-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-09-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-09-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-09-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
   2026-10-01  Contributions         Unrestricted    General      USD       USD -$10,000.00       USD $0.00   USD $10,000.00
   2026-10-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-10-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$7,500.00       USD $0.00    USD $7,500.00
   2026-10-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-10-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
   2026-11-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-11-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$2,500.00       USD $0.00    USD $2,500.00
   2026-11-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-11-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $750.00       MXN $0.00     MXN -$750.00
   2026-12-01  Contributions         Unrestricted    General      USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-12-01  Salaries              Unrestricted    General      USD         USD $3,600.00       USD $0.00   USD -$3,600.00
   2026-12-01  Government Grants     Beca Agua 2025  Educacion    USD        USD -$5,000.00       USD $0.00    USD $5,000.00
   2026-12-01  Program Supplies      Beca Agua 2025  Educacion    USD           USD $400.00       USD $0.00     USD -$400.00
   2026-12-01  Food Purchases        Unrestricted    Food Pantry  MXN           MXN $600.00       MXN $0.00     MXN -$600.00
=  Total                                                          MXN         MXN $7,800.00   MXN $1,500.00   MXN -$6,300.00
=  Total                                                          USD       USD -$56,400.00   USD $8,100.00   USD $64,500.00
